host_description,Personal Charisma,Friendly Attitudes,Service & Assistance,Socialisation & Sharing
"I was born and raised in Kingston Jamaica. Moved to the States in 2010. I have a degree in Art Education and I currently work in Sales. Traveling is my 2nd love - I've been to over 10 countries including ; Dominican Republic, Puerto Rico, Switzerland , Germany , Italy , France , England , Netherlands , Greece , Spain , Portugal , Morocco , Canada , Mexico . Asia up next.","""born and raised in Kingston Jamaica"", ""degree in Art Education"", ""work in Sales"", ""traveling is my 2nd love"", ""visited over 10 countries""",None,None,None
"The entire world knows the Bronx as the home of the New York Yankees, the Bronx Zoo and the New York Botanical Garden not to mention as the birthplace of hip-hop. Im having such a great experience through Airbnb connecting me to people from all over the world. I want you to know the beauty of being 5 minutes out of the city. 

       StOp no need to keep searching for """"A Place"""" ,you've found """"The PLace"""" Cherry Hill . Book, you definitely  wont be disappointed . I'm a laid back brother to 7 sisters and 4 older brothers, raised around  laughter, boredom busters , the ability to see others perspective , and more helping hands then one man can wish for.
 I like to consider myself a simple man with a plan to spread some peace along his journey. Born and rasied in nyc as host its my pleasure to share the big Apple's beauty with the rest of the World. My favorite book is freakle juice and i have a big thing for kit-kats. ""","""laid back brother to 7 sisters and 4 older brothers"", ""raised around laughter and helping hands"", ""simple man with a plan"", ""born and raised in NYC"", ""favorite book is Freckle Juice"", ""big thing for Kit-Kats""","""great experience through Airbnb connecting me to people"", ""laughter"", ","""want you to know the beauty of being 5 minutes out of the city"", ""you definitely won't be disappointed""","""connecting me to people from all over the world"", ""pleasure to share the big Apple's beauty with the rest of the World"", ""see others' perspective"""
I'm a brunch chef and live in the big apple but I love quiet weekend getaways. It's how I find balance. Not a big drinker and I don't smoke or use drugs. I'm super neat and clean and I hope to be in a home that's the same,"""brunch chef"", ""love quiet weekend getaways"", ""find balance"", ""super neat and clean""",None,None,None
"A likeable host who is more of a people person. Being in the hospitality business as concerns Airbnb, I see it imperative to serve all with a sense of respect and gratitude.","""likeable host"", ""people person""","""respect and gratitude""","""hospitality business"", ""imperative to serve all""",None
"I like meeting people from all walks of life and being an AirBnB Superhost allows me to do that. After retiring from a career in law enforcement with NYPD and other agencies, i enjoy being hospitable to guests that want to experience NYC and the Bronx in particular. ","""retiring from a career in law enforcement with NYPD and other agencies""","""enjoy being hospitable to guests""","""AirBnB Superhost allows me to do that""","""like meeting people from all walks of life"", ""want to experience NYC and the Bronx in particular"""
"Welcome guys! Its Greg.

Born and raised in the Upper West Side of Manhattan on Central Park West, I have witnessed the transitional phases from the ""Old"" New York to the ""New""  New York City. Glad to say I am an original and proud New Yorker with vast experience leading me to my career in film production. I have worked on many of the popular TV Shows and Films filmed in the Heart of New York City. My interest in travel and tourism have provided me with the experience of hosting and accommodating different people and cultures from all over the world.

Hoping to share with guests the same experiences I have on a daily basis even if its for a temporary stay!","""proud New Yorker"", ""career in film production"", ""worked on many popular TV shows and films"", ""interest in travel and tourism""","""welcome guys!"", ""glad to say""","""hosting and accommodating different people and cultures""","""hoping to share with guests the same experiences I have"""
"Day Habilitation Supervisor in the day, Music producer at night. I am a positive, laid back clean guy. I am Dominican so I am fluent in Spanish and Im very respectful. ","""Day Habilitation Supervisor"", ""Music producer"", ""positive"", ""laid back"", ""clean guy"", ""I am Dominican""","""very respectful""",None,None
"We are a multinational family - Yulia was born and raised in Moscow, Russia; Amine was born and raised in Morocco, our dog - Pixel and our cat - Archie are native New Yorkers . We were very fortunate to find each other, fall in love and  create a family in one of the best cities in the world - New York City.  
We enjoy traveling, meeting new people and learn about new cultures. Having a background in hospitality inspired us to open the doors of our home for AirBnB travelers.
We are very serious about providing a fun, comfortable and enjoyable experience for all our guests. If you are friendly, tidy, communicative, respectful and comfortable being a ""Please and Thank You"" kind of guest then we very much look forward to welcoming you to our home.
","""multinational family"", ""fortunate to find each other and create a family"", ""enjoy traveling"", ""background in hospitality""","""look forward to welcoming you to our home""","""providing a fun, comfortable and enjoyable experience"", ""open the doors of our home for Airbnb travelers""","""meeting new people"", ""learn about new cultures"""
An easy going gentlemen involved in the interior design industry.,"""easy going gentleman"", ""involved in the interior design industry""",None,None,None
"Hello, I was formerly a philosophy and political science student with an interest in public service and policy. I currently manage a warehouse in Long Island City while I go back to school to earn an MBA in Healthcare Administration.

I coordinate with various renters in the area to share any extra space they might have to anyone that is interested in visiting, working, staying in the city, or even fellow New Yorkers that just need a place to relax while their relatives take up their own apartments.

I have had the privilege to have grown up, studied, and worked in and around New York City my entire life and thus, have intimate knowledge of this neighborhood and the Metropolitan area. I am quite fond of my hometown and would love the chance to share it with the rest of you!","""formerly a philosophy and political science student"", ""interest in public service"", ""manage a warehouse"", ""grew up, studied, and worked in NYC""","""fond of my hometown"", ""would love the chance to share it with the rest of you""","""coordinate with renters to share space"", ""help New Yorkers who need a place to relax""","""share it with the rest of you"", ""interested in visiting, working, staying in the city"""
"I am a 41 year old living in the insanely awesome city of New York, in the Astoria Queens neighborhood. I have been doing Airbnb for 9 years and love the people I have met and being able to share my community with them. I work in financial sales for a leading technology and news organization which allows me to travel quite a bit and have the luxury of staying in nice locations and eating well. I love to travel and have been to 83 countries and counting, most recently Croatia.

Hobbies: Traveling, Eating, seeing live music, working out, cooking, reading, spending time with my girlfriend, friends, family and my puppies.","""41-year-old living in New York"", ""work in financial sales for a leading technology and news organization"", ""been to 83 countries"", ""Hobbies: Traveling, Eating, seeing live music, working out, cooking, reading""","""love the people I have met"", ""spending time with my girlfriend, friends, family and my puppies""","""been doing Airbnb for 9 years""","""being able to share my community with them"""
"I was born and raised in the suburbs in Minnesota, went to university at Berklee College of Music in Boston, and then moved to New York in 2012. I'm a musician, and operate an online educational/inspiration website. Most of my life is spent making music, drumming, teaching, performing, and traveling. I love traveling and seeing new places. Luckily, as a drummer, I get to do this quite a bit (this is why I started with Airbnb). I've been finding I really enjoy renting out my space in New York to excited travelers. It excites me to be a small part of someone's experience in such an exciting city.","""born and raised in Minnesota"", ""Berklee College of Music"", ""musician"", ""educational/inspiration website"", ""making music, drumming, teaching, performing, and traveling"", ""love traveling""","""enjoy renting out my space in New York to excited travelers"", ""excites me to be a small part of someone's experience""",None,"""started with Airbnb"", ""sharing space with travelers"" (implied via context of excitement to host)"
"I am a Spanish teacher also working on a PHD in Literature. I am from Spain and have lived in NY for 10 years. I travel every year or every two years to see my family or to explore other countries
I like herbal medicine, yoga, Psychoanalysis, poetry, Jazz and classical music.
I have learned so much in this city, and I want to keep learning.
I love living in Astoria because it is a calm, lively, diverse, pleasant and conveniently located neighborhood with all kind of amenities:
Restaurants, cafes, supermarkets, health stores, cinemas, museums and parks.","""Spanish teacher working on a PhD in Literature"", ""travel every year or two"", ""herbal medicine, yoga, Psychoanalysis, poetry, Jazz and classical music"", ""want to keep learning""",None,None,"""love living in Astoria because it is calm, lively, diverse pleasant and conveniently located neighborhood with all kind of amenities"""
"I love everything travel related.. Also a big fan of hiking, learning new languages, meeting great people, and meditating!! ","""love everything travel related"", ""big fan of hiking"", ""learning new languages"", ""meditating""",None,None,"""meeting great people"""
"My wife and I recently moved to Long Island City and absolutely love it! Our place is full of natural light with incredible views. We love good food and coffee- everything you need to prepare a delicious meal is in the kitchen and there is a grocery store downstairs. We are one stop from Manhattan but there are plenty great restaurants in our local neighborhood. 
We travel a ton and have greatly enjoyed exploring new homes and places with fellow AirBnB hosts. We hope you love our place as much as we do!","""absolutely love it"", ""full of natural light with incredible views"", ""love good food and coffee"", ""travel a ton""","""hope you love our place as much as we do""","""everything you need to prepare a delicious meal is in the kitchen"", ""grocery store downstairs""","""greatly enjoyed exploring new homes and places with fellow AirBnB hosts"""
Solo traveler exploring the world. ,"""Solo traveler exploring the world""",None,None,None
"Fun loving, family oriented young professional who loves to travel.","""Fun loving"", ""family oriented"", ""young professional"", ""loves to travel""",None,None,None
"We live in Forest Hills, NYC and are truly inspired by the people we live around, where they originally come from and the energy that is in the neighborhood.  We love Minimal, Understated, Modern style. We love to absorb nature and be inspired by it's natural beauty. We are people person and love positive energy.

It's important for us to tell a story with our home. Something relatable to everyone that reminds you of home or a great memory.  ","""truly inspired by the people we live around"", ""love Minimal, Understated, Modern style"", ""love to absorb nature"", ""love positive energy""","""people person""","""something relatable to everyone that reminds you of home or a great memory""","""important for us to tell a story with our home"""
"We are originally from Japan :-) and now live in New York for a long time :) We are very happy to have you over to stay at our place for comfortable stay. We always listen to your need and do our best to respond to you as soon as possible.
","""originally from Japan"", ""live in New York for a long time""","""very happy to have you over to stay at our place""","""always listen to your need"", ""do our best to respond to you as soon as possible""",None
I believe life has a beautiful meaning and is a gift. I appreciate every moment and believe that how we choose to live our lives is our gift back.,"""believe life has a beautiful meaning and is a gift"", ""appreciate every moment"", ""believe that how we choose to live our lives is our gift back""",None,None,None
We are a family that loves to travel around the world. ,"""loves to travel around the world""",None,None,None
"Hi there! I'm a product designer residing in vibrant NYC. When I'm not immersed in my creative work, I love exploring nature through hiking adventures. The energy of live music truly captivates me, and attending concerts and festivals is one of my passions. As an Airbnb host, I strive to create a welcoming and comfortable experience for my guests. I look forward to sharing insider tips about the city.","""product designer residing in vibrant NYC"", ""love exploring nature through hiking adventures"", ""attending concerts and festivals is one of my passions""","""create a welcoming and comfortable experience""",None,"""sharing insider tips about the city"""
"New Yorker by chance, lover of Istanbul, and a Portuguese implant by choice. Fell in love with amazing Portugal and worked hard to make it a second home. Now ready to share it with all its beauty with friends, family and guests. #notallwhowanderarelost","""New Yorker by chance"", ""lover of Istanbul"", ""Portuguese implant by choice"", ""worked hard to make it a second home""",None,None,"""ready to share it with all its beauty with friends, family and guests"""
Business owner and enjoy traveling for leisure and business worldwide.  ,"""Business owner"", ""enjoy traveling for leisure and business worldwide""",None,None,None
I am an avid runner. I am also an ex rugby player and follow the sport closely and son competes in College. I love to spend private uncomplicated time with my wife and two college age children. I am a workaholic that forgets to take vacation. We are empty nesters that would be happy to have more company  around our house.,"""avid runner"", ""ex rugby player"", ""follow the sport closely"", ""workaholic"", ""love to spend private uncomplicated time with my wife and children""",None,None,"""happy to have more company around our house"""
My husband Vladimir and I are both retired. We are respectful and quiet guests. We also host part of our property on Airbnb.,"""retired""","""respectful and quiet guests""","""host part of our property on Airbnb""",None
"Easy going, Clean & Friendly.","""Easy going""","""Friendly""",None,None
"Hi, I am a software developer. When I have time I like to do renovations. So, this apartment was recently renovated and ready for you, our dear guests! Welcome to NYC! We hope you will enjoy staying with us!","""software developer"", ""like to do renovations""","""Welcome to NYC!"", ""hope you will enjoy staying with us!""","""apartment was recently renovated and ready for you, our dear guests""",None
"NYC-based Photographer with an appreciation for visual design. Enjoys great food, soccer, and travel.","""NYC-based Photographer"", ""appreciation for visual design"", ""enjoys great food, soccer, and travel""",None,None,None
"My name is Dee.  I personally keep my airbnb meticulously clean.  I am currently setting up the apartment for each individual stay in accordance with new Covid-19 cleaning precautions.   I leave a minimum 72 hours after a guest checks out before I enter to clean and sanitize with a full stock of microban disinfectant products. All towels, linens and blankets are washed and sanitized between guests whether they were used or not. (I have several sets to make that possible).

I love buying snacks and supplies for each guest to make your stay comfortable and carefree!  I pride myself on my 5 star reviews!!  Everyone says they never met an airbnb host like me that worries so much about the details.  I hope you book soon to find out for yourself!","""pride myself on my 5 star reviews"", ""never met an airbnb host like me that worries so much about the details""","""love buying snacks and supplies for each guest"", ""hope you book soon to find out for yourself""","""keep my airbnb meticulously clean"", ""Covid-19 cleaning precautions"", ""clean and sanitize"", ""washed and sanitized between guests"", ""snacks and supplies"", ""make your stay comfortable and carefree""",None
